Category,Issue,Platform,Severity,Keywords,Description,Do,Dont,Code Good,Code Bad,Metric,Reference URL
Build,Gradle JVM Heap Size,Android,High,gradle jvm heap memory xmx xms oom build properties,Gradle running out of memory or GC thrashing during build,Set optimal JVM heap in gradle.properties; use 4-8GB for large projects,Use default 512MB heap; causes frequent GC pauses and OOM,// gradle.properties: org.gradle.jvmargs=-Xmx4g -Xms1g -XX:+UseParallelGC -XX:MaxMetaspaceSize=512m,// Default: no jvmargs set; 512MB heap; OOM on large multi-module builds,4GB+ heap for large projects,https://docs.gradle.org/current/userguide/build_environment.html
Build,Gradle Daemon Persistent Process,Android,High,gradle daemon persistent jvm process startup speed warm,Cold Gradle JVM startup adding 10-15s to every build,Enable Gradle daemon (default on); keep alive for faster subsequent builds,Disable daemon; cold start JVM on every build invocation,// gradle.properties: org.gradle.daemon=true; org.gradle.daemon.idletimeout=10800000 // 3h,// org.gradle.daemon=false; // Cold JVM start every build: +10-15s,Warm daemon builds,https://docs.gradle.org/current/userguide/gradle_daemon.html
Build,Gradle Parallel Execution,Android,High,gradle parallel execution multimodule concurrent workers,Modules building sequentially wasting multi-core CPU,Enable parallel execution; set workers to CPU core count,Sequential module builds; wasting CPU cores,// gradle.properties: org.gradle.parallel=true; org.gradle.workers.max=8 // match CPU cores,// Sequential: only 1 module builds at a time; 4x slower on 4-module project,Parallel module builds,https://docs.gradle.org/current/userguide/multi_project_configuration_and_execution.html
Build,Gradle Build Cache,Android,High,gradle build cache local remote ci reuse tasks artifacts,Recompiling unchanged modules from scratch on every build,Enable local + remote build cache; share cache across CI and developers,No caching; full rebuild every time even with no code changes,"// gradle.properties: org.gradle.caching=true; // settings.gradle.kts: buildCache { local { isEnabled = true }; remote(HttpBuildCache::class) { url = uri(""https://cache.company.com/"") } }",// org.gradle.caching=false; // Every build recompiles everything from scratch; 10min CI builds,80%+ cache hit rate,https://docs.gradle.org/current/userguide/build_cache.html
Build,KSP Over KAPT Migration,Android,Critical,ksp kapt annotation processor compile speed kotlin symbol,KAPT using slow Java stubs generation; 2x slower than KSP,Migrate all annotation processors to KSP; remove KAPT plugin entirely,Use KAPT for Hilt Room Moshi; generates Java stubs before processing,"// build.gradle.kts: plugins { id(""com.google.devtools.ksp"") }; dependencies { ksp(libs.hilt.compiler); ksp(libs.room.compiler); ksp(libs.moshi.codegen) }","// plugins { id(""kotlin-kapt"") }; kapt(libs.hilt.compiler) // Generates Java stubs; 2x slower compilation",2x faster annotation processing,https://developer.android.com/build/migrate-to-ksp
Build,Non-Transitive R Classes,Android,High,non transitive r class namespace resource build speed android,Transitive R classes generating massive R.java files in every module,Enable non-transitive R classes to reduce build time and APK size,Allow transitive R classes; regenerates massive R files on every change,// gradle.properties: android.nonTransitiveRClass=true; // Use: import com.example.feature.R // fully qualified,// android.nonTransitiveRClass=false; // R.java in :app contains ALL resources from ALL modules,30-40% faster resource processing,https://developer.android.com/build/optimize-your-build
Build,Gradle File System Watching,Android,Medium,gradle file system watching filesystem incremental change detection,Gradle scanning entire project filesystem for changes on each build,Enable file system watching for instant change detection,Full filesystem scan on every build invocation,// gradle.properties: org.gradle.vfs.watch=true // enabled by default Gradle 7+,// org.gradle.vfs.watch=false; // Rescans entire project tree every build: +2-5s overhead,Instant change detection,https://docs.gradle.org/current/userguide/file_system_watching.html
Build,Kotlin Incremental Compilation,Android,High,kotlin incremental compilation jvm precise ic speed compile,Full Kotlin recompilation on every change instead of incremental,Enable precise incremental compilation; only recompile affected files,Full recompilation; changing one file recompiles entire module,// gradle.properties: kotlin.incremental=true; kotlin.incremental.usePreciseJavaTracking=true; kotlin.compiler.preciseCompilationResultsBackup=true,// kotlin.incremental=false; // Changing 1 line recompiles 500 files in module,Recompile only affected files,https://kotlinlang.org/docs/gradle-compilation-and-caches.html
Build,Kotlin Daemon JVM Args,Android,Medium,kotlin daemon jvm memory heap compilation kotlinc speed,Kotlin compiler daemon running out of memory or slow GC,Set Kotlin daemon JVM args separately from Gradle daemon,Use Gradle JVM args for Kotlin compiler; insufficient memory,// gradle.properties: kotlin.daemon.jvmargs=-Xmx2g -XX:+UseParallelGC; // Separate from Gradle daemon,// No kotlin.daemon.jvmargs; uses Gradle's args; may be insufficient for Kotlin compilation,2GB+ for Kotlin daemon,https://kotlinlang.org/docs/gradle-compilation-and-caches.html
Build,Avoid Dynamic Dependency Versions,Android,High,dynamic dependency version snapshot changing gradle resolve cache,Dynamic versions (1.+ SNAPSHOT latest) breaking caching and reproducibility,Pin exact dependency versions; use version catalog for single source of truth,Use dynamic versions like 1.+ or SNAPSHOT; breaks cache; flaky builds,// libs.versions.toml: [versions] retrofit = '2.11.0'; // Exact pinned version,// implementation('com.squareup.retrofit2:retrofit:2.+') // Resolves different version every build; breaks cache,Reproducible builds,https://docs.gradle.org/current/userguide/dynamic_versions.html
Build,Gradle Optimized Properties Template,Android,Critical,gradle properties template optimized build speed memory cache recommended,Missing or default gradle.properties without any build optimizations,Use comprehensive optimized gradle.properties template for all projects,Default gradle.properties with only trivial settings,// gradle.properties optimized template: org.gradle.jvmargs=-Xmx4g -Xms1g -XX:+UseParallelGC -XX:MaxMetaspaceSize=512m; org.gradle.parallel=true; org.gradle.caching=true; org.gradle.configuration-cache=true; org.gradle.vfs.watch=true; android.nonTransitiveRClass=true; android.useAndroidX=true; kotlin.incremental=true; kotlin.code.style=official; kotlin.daemon.jvmargs=-Xmx2g,// gradle.properties: org.gradle.jvmargs=-Xmx256m; // Everything else default; 5-10x slower builds than optimized,All optimizations enabled,https://developer.android.com/build/optimize-your-build
Build,Avoid Unnecessary Plugins,Android,Medium,gradle plugin apply buildscript classpath unused slow configuration,Applying unused plugins in every module slowing configuration phase,Only apply plugins needed per module; use plugins { } DSL with apply false,Apply all plugins in root; apply unused plugins in feature modules,"// root build.gradle.kts: plugins { id(""com.android.library"") version ""8.7.0"" apply false }; // Only apply where needed",// Every module: apply plugin: 'kotlin-kapt'; apply plugin: 'com.google.gms.google-services' // Even when not needed,Faster configuration,https://docs.gradle.org/current/userguide/plugins.html
Build,Modularize for Incremental Builds,Android,Critical,modularize module incremental build compile isolation api implementation,Single :app module recompiling everything on any source change,Split into feature modules; use implementation over api for dependency isolation,Single monolithic module; changing one file triggers full recompilation,// :core:data (Room+Retrofit) :core:ui (design system) :feature:home :feature:search; dependencies { implementation(project(':core:data')) },// Single :app module with 500+ files; any change = full 5min rebuild,Module-scoped rebuilds,https://developer.android.com/topic/modularization
Build,Gradle Task Avoidance API,Android,Medium,gradle task avoidance api register create lazy configuration,Eager task creation slowing configuration phase for every build,Use tasks.register (lazy) instead of tasks.create (eager),Use tasks.create which instantiates task even when not needed,"// build.gradle.kts: tasks.register<Copy>(""copyDocs"") { from(""docs""); into(""build/docs"") } // Lazy: only created when executed","// tasks.create(""copyDocs"", Copy::class) { from(""docs"") into(""build/docs"") } // Eager: always configured even if not run",Lazy task creation,https://docs.gradle.org/current/userguide/task_configuration_avoidance.html
Build,AGP Build Features Toggle,Android,High,agp build features buildconfig viewbinding compose aidl renderscript disable unused,Unused AGP build features generating code on every build,Disable unused build features per module to speed up builds,Leave all build features enabled by default; generates unnecessary code,// build.gradle.kts: android { buildFeatures { viewBinding = false; dataBinding = false; aidl = false; renderScript = false; buildConfig = false } } // Enable only what you need per module,// All features enabled by default; generates BuildConfig ViewBinding stubs etc in every module,Faster per-module builds,https://developer.android.com/reference/tools/gradle-api/current/com/android/build/api/dsl/BuildFeatures
Build,Gradle Remote Build Cache for CI,Android,High,gradle remote build cache ci cd shared team http push pull,CI builds not sharing cache; rebuilding everything on every pipeline run,Set up remote HTTP build cache; CI pushes; developers pull shared cache,Each CI agent and developer rebuilds from scratch independently,"// settings.gradle.kts: buildCache { remote(HttpBuildCache::class) { url = uri(""https://cache.example.com/cache/""); isPush = System.getenv(""CI"") != null; credentials { username = ""ci""; password = System.getenv(""CACHE_PASSWORD"") } } }",// No remote cache; every CI run does full clean build from scratch; 15min pipelines,Shared cache across CI/devs,https://docs.gradle.org/current/userguide/build_cache.html#sec:build_cache_configure_remote
Build,Convention Plugins for Multi-Module,Android,High,convention plugin build logic shared dsl multi module gradle,Duplicated build logic across modules; inconsistent configurations,Create convention plugins in buildSrc or build-logic for shared build config,Copy-paste build config in every module's build.gradle.kts,"// build-logic/convention/src/AndroidLibraryConventionPlugin.kt: class AndroidLibraryConventionPlugin : Plugin<Project> { override fun apply(target: Project) { with(target) { pluginManager.apply(""com.android.library""); configure<LibraryExtension> { compileSdk = 35; defaultConfig.minSdk = 26 } } } }",// Every feature module: android { compileSdk = 35; defaultConfig { minSdk = 26 }; compileOptions { ... } } // Same 50 lines copy-pasted in 20 modules,DRY build logic,https://developer.android.com/build/migrate-to-catalogs
Build,Dependency Locking for Reproducibility,Android,Medium,dependency locking lock file reproducible build gradle version resolve,Transitive dependency versions changing between builds causing inconsistencies,Enable dependency locking for reproducible builds across environments,No locking; transitive dependencies resolve to different versions on different machines,// build.gradle.kts: dependencyLocking { lockAllConfigurations() }; // Generate: ./gradlew dependencies --write-locks,// No locking; transitive dep 'okio' resolves to 3.5.0 locally but 3.6.0 on CI breaking build,Reproducible dependency resolution,https://docs.gradle.org/current/userguide/dependency_locking.html
Build,Gradle JVM Toolchain,Android,Medium,gradle jvm toolchain java version project compilejava kotlin,Inconsistent Java versions across developer machines and CI,Configure JVM toolchain in Gradle; ensures consistent Java version everywhere,Rely on system JAVA_HOME; different versions on different machines,// build.gradle.kts: kotlin { jvmToolchain(17) }; // Or: java { toolchain { languageVersion.set(JavaLanguageVersion.of(17)) } },// No toolchain; developer A uses Java 11; developer B uses Java 21; CI uses Java 17; build breaks randomly,Consistent JVM version,https://docs.gradle.org/current/userguide/toolchains.html
Build,Compose Compiler Gradle Plugin,Android,High,compose compiler gradle plugin kotlin version decoupled 2.0,Compose compiler version tightly coupled to Kotlin version; upgrade friction,Use Compose Compiler Gradle plugin (Kotlin 2.0+); decouples Compose from Kotlin version,Use old kotlinCompilerExtensionVersion; must find matching Kotlin+Compose version pairs,"// build.gradle.kts: plugins { id(""org.jetbrains.kotlin.plugin.compose"") version ""2.1.0"" }; // No more kotlinCompilerExtensionVersion needed","// composeOptions { kotlinCompilerExtensionVersion = ""1.5.14"" } // Must match exact Kotlin version; upgrade friction",Decoupled Kotlin+Compose upgrades,https://developer.android.com/develop/ui/compose/compiler
Database,Room Database Indexing,Android,High,room index query speed sqlite column search where,Slow Room queries on large datasets without proper indexes,Add @ColumnInfo index on frequently queried columns; use compound indexes,No indexes on WHERE/JOIN columns; full table scans on every query,"@Entity(indices = [Index(value = [""email""] unique = true) Index(""createdAt"")]); data class User(@PrimaryKey val id: String @ColumnInfo(index = true) val email: String)",@Entity data class User(@PrimaryKey val id: String val email: String) // No index; full table scan on findByEmail,< 10ms query time,https://developer.android.com/training/data-storage/room/defining-data#column-indexing
Database,Room WAL Mode,Android,High,room wal write ahead log concurrent read write performance sqlite,Default journal mode blocking reads during writes,Enable WAL mode for concurrent reads and writes; 10x better write performance,Default rollback journal; readers block writers and vice versa,"Room.databaseBuilder(ctx AppDatabase::class.java ""db"").setJournalMode(RoomDatabase.JournalMode.WRITE_AHEAD_LOGGING).build()","Room.databaseBuilder(ctx AppDatabase::class.java ""db"").build() // Default journal mode; reads block during writes",Concurrent read/write,https://developer.android.com/training/data-storage/room
Database,Batch Database Operations,Android,High,room batch insert upsert transaction bulk write performance,Inserting items one by one in a loop; O(n) transactions,Use @Transaction for batch operations; single transaction for bulk writes,Individual insert/update in a loop; each one creates a separate transaction,@Transaction suspend fun upsertAll(items: List<Entity>) { items.forEach { upsert(it) } } // Single transaction,items.forEach { dao.upsert(it) } // N separate transactions; 100x slower for 1000 items,Single transaction for batch,https://developer.android.com/training/data-storage/room/accessing-data
Database,Room Paging Integration,Android,Medium,room paging3 pagingsource large dataset lazy load query,Loading entire table into memory for display,Use Room PagingSource for lazy loading large datasets,SELECT * loading 10k+ rows into memory; OOM on large tables,"@Query(""SELECT * FROM items ORDER BY date DESC"") fun pagingSource(): PagingSource<Int Item>","@Query(""SELECT * FROM items"") suspend fun getAll(): List<Item> // Loads 50k rows into memory",Load 20 items at a time,https://developer.android.com/topic/libraries/architecture/paging/v3-paged-data
Threading,Main Thread Blocking Detection,Android,Critical,main thread blocking anr strictmode disk network ui freeze,Performing disk I/O or network on main thread causing ANR,Use StrictMode in debug to detect main thread violations; move work to IO dispatcher,Ignore ANR warnings; perform blocking work on main thread,StrictMode.setThreadPolicy(StrictMode.ThreadPolicy.Builder().detectAll().penaltyLog().build()),// No StrictMode; database reads on main thread; users see 5s ANR dialog,Zero main thread violations,https://developer.android.com/topic/performance/vitals/anr
Threading,Coroutine Dispatcher Selection,Android,High,coroutine dispatcher io default main unconfined cpu bound io bound,Using wrong dispatcher for workload type,Use Dispatchers.IO for I/O; Default for CPU; Main for UI only,Use Dispatchers.Main for file reads; IO for sorting algorithms,withContext(Dispatchers.IO) { db.query() }; withContext(Dispatchers.Default) { list.sortBy { it.score } },withContext(Dispatchers.Main) { db.query() } // Blocks UI thread during database query,Correct dispatcher per operation,https://developer.android.com/kotlin/coroutines/coroutines-best-practices
Threading,Structured Concurrency Leak Prevention,Android,High,structured concurrency viewmodelscope lifecyclescope cancel leak coroutine,Unstructured coroutines leaking beyond lifecycle; memory leaks,Use viewModelScope/lifecycleScope; structured concurrency cancels on destroy,GlobalScope.launch; CoroutineScope without cancel; leaked coroutines,viewModelScope.launch { fetchData() } // Auto-cancelled when ViewModel cleared,GlobalScope.launch { fetchData() } // Never cancelled; leaks memory; runs after screen destroyed,Zero coroutine leaks,https://developer.android.com/kotlin/coroutines/coroutines-best-practices
Threading,Flow Debounce for Search,Android,Medium,flow debounce search query throttle reduce api calls,Firing API call on every keystroke; 10+ unnecessary requests,Debounce search input with Flow; 300ms delay reduces calls by 90%,API call on every character typed; N calls for N-character search,searchQuery.debounce(300).distinctUntilChanged().flatMapLatest { api.search(it) },searchQuery.collect { api.search(it) } // Fires on every keystroke; 10 API calls for 'hello',300ms debounce,https://kotlinlang.org/api/kotlinx.coroutines/kotlinx-coroutines-core/kotlinx.coroutines.flow/debounce.html
Compose,Stability and Immutability,Android,High,compose stability immutable stable class recomposition skip annotation,Unstable parameters causing unnecessary recompositions in Compose,Use immutable data classes; annotate with @Stable/@Immutable when needed,Mutable Lists/Maps as Compose parameters; class with var properties,@Immutable data class UiState(val items: ImmutableList<Item> val isLoading: Boolean),data class UiState(val items: List<Item>) // List is unstable; causes recomposition even if content unchanged,All key composables skippable,https://developer.android.com/develop/ui/compose/performance/stability
Compose,Modifier Chain Ordering,Android,Medium,compose modifier order chain clickable padding clip performance layout,Incorrect modifier ordering causing unexpected behavior and overdraw,Apply modifiers in logical order: clip before background; padding before clickable for touch target,Random modifier ordering; padding after clickable reduces touch target,Modifier.clip(shape).background(color).padding(16.dp).clickable { } // Correct order,Modifier.clickable { }.padding(16.dp) // Touch target smaller than visible area; confusing UX,Correct modifier order,https://developer.android.com/develop/ui/compose/modifiers
Compose,LazyColumn Content Type,Android,Medium,compose lazycolumn contenttype viewtype heterogeneous list recyclable,Mixed item types in LazyColumn not recycled efficiently,Provide contentType for heterogeneous lists; enables efficient composition recycling,No contentType; Compose cannot reuse compositions across different item types,LazyColumn { items(feed key = { it.id } contentType = { it.type }) { when(it) { is Post -> PostCard(it); is Ad -> AdCard(it) } } },LazyColumn { items(feed) { when(it) { is Post -> PostCard(it); is Ad -> AdCard(it) } } } // No contentType; poor recycling,Efficient composition reuse,https://developer.android.com/develop/ui/compose/lists#content-type
Compose,movableContentOf for Layout Changes,Android,Medium,compose movable content layout transition preserve state reuse,Composable state lost when moving between layouts (portrait/landscape),Use movableContentOf to preserve state across layout changes,Recreate composable from scratch on layout change; lose scroll position/state,val player = remember { movableContentOf { VideoPlayer(url) } }; if (isFullscreen) FullscreenLayout { player() } else InlineLayout { player() },// On rotation: VideoPlayer recreated; buffering restarts; playback position lost,State preserved across layouts,https://developer.android.com/develop/ui/compose/performance
Profiling,Android Studio Profiler,Android,High,android studio profiler cpu memory network energy timeline trace,Not using profiler to identify performance bottlenecks,Use Android Studio Profiler for CPU/Memory/Network/Energy analysis,Guess at performance issues without profiling data,View > Tool Windows > Profiler; attach to running process; record CPU trace during janky interaction,// Never profile; assume bottleneck is in wrong place; optimize randomly,Data-driven optimization,https://developer.android.com/studio/profile
Profiling,Compose Layout Inspector,Android,Medium,compose layout inspector recomposition count debug ui tree semantics,Not tracking recomposition counts in Compose UI,Use Layout Inspector to visualize recomposition counts and identify hot spots,Ship without checking recomposition counts; invisible performance drain,Layout Inspector > Enable 'Show Recomposition Counts'; identify composables recomposing > 1x per frame,// Never check recomposition counts; composables recompose 60x/sec unnecessarily,< 1 recomposition per frame,https://developer.android.com/develop/ui/compose/tooling/layout-inspector
Profiling,APK Analyzer for Size Optimization,Android,Medium,apk analyzer size dex resources classes method count optimize,Not analyzing APK contents to find size optimization opportunities,Use APK Analyzer to inspect DEX/resources/native libs; find largest contributors,Ship without checking APK size breakdown; bloated resources or duplicate libraries,Build > Analyze APK; sort resources by size; check for duplicate libraries; review DEX method counts,// Never analyze APK; include unused 5MB animation library; duplicate resources across modules,Identify size offenders,https://developer.android.com/tools/apkanalyzer
Animation,Compose Animation Performance,Android,Medium,compose animation performance animateasstate transition targetbased spec,Animations causing jank by triggering expensive recompositions,Use animateAsState with correct spec; animate in layout/draw phase when possible,Animate by updating state rapidly; causing full recomposition on every frame,val alpha by animateFloatAsState(targetValue = if (visible) 1f else 0f animationSpec = tween(300)),var alpha by remember { mutableStateOf(1f) }; LaunchedEffect(visible) { while(true) { alpha -= 0.01f; delay(16) } } // Manual animation; janky,60fps during animation,https://developer.android.com/develop/ui/compose/animation/introduction
Animation,Shared Element Transitions,Android,Medium,shared element transition compose navigation predictive back material3,No visual continuity between screens; jarring navigation experience,Use shared element transitions in Navigation Compose for smooth screen transitions,Hard cuts between screens; no visual connection between list and detail,"SharedTransitionLayout { AnimatedContent(screen) { composable -> SharedElement(key = ""image-$id"" animatedContentScope = this) { AsyncImage(url) } } }",// No shared elements; image disappears on list click; reappears on detail screen; jarring UX,Smooth transitions,https://developer.android.com/develop/ui/compose/animation/shared-elements
Animation,Predictive Back Gesture,Android,Medium,predictive back gesture android 14 15 navigation compose material3,App not supporting predictive back; abrupt back navigation,Implement predictive back for smooth back gesture preview on Android 14+,Override onBackPressed; no back gesture preview,// Enable: AndroidManifest android:enableOnBackInvokedCallback='true'; // Navigation Compose handles automatically with animateContentSize,// Override onBackPressed() in Activity; no gesture preview; abrupt transition on back,Smooth back gesture,https://developer.android.com/guide/navigation/custom-back/predictive-back-gesture
Accessibility,Content Description Performance,Android,Medium,content description accessibility talkback semantics compose performance,Missing content descriptions causing accessibility failures AND wasted traversal,Provide meaningful contentDescription; use null for decorative images to skip traversal,No contentDescription (fails accessibility); or empty string (TalkBack reads 'unlabeled'),"Icon(Icons.Default.Search contentDescription = ""Search""); Image(painter contentDescription = null) // Decorative: skip","Icon(Icons.Default.Search contentDescription = """") // TalkBack says 'unlabeled'; confusing; or no desc at all",100% labeled interactive elements,https://developer.android.com/develop/ui/compose/accessibility
Accessibility,Semantics Tree Optimization,Android,Medium,compose semantics tree merging clearandsetsemantics performance talkback,Overly complex semantics tree causing slow TalkBack traversal,Merge semantics for compound components; clearAndSetSemantics for custom descriptions,Every tiny Text and Icon gets its own TalkBack focus; slow navigation,"Modifier.semantics(mergeDescendants = true) { contentDescription = ""Item: $name - $price"" }",// Each Text and Icon separately focusable: TalkBack reads 'name' then 'price' then 'icon' = 3 swipes per item,< 3 swipes per list item,https://developer.android.com/develop/ui/compose/semantics
Network,GraphQL Query Optimization,All,Medium,graphql query overfetching underfetching fragment persisted batch,REST overfetching returning unused fields; multiple round trips for nested data,Use GraphQL with persisted queries and fragments; fetch exactly what UI needs,REST endpoints returning 50 fields when UI needs 5; N+1 requests for nested data,query GetUser($id: ID!) { user(id: $id) { name avatar posts(first: 10) { title thumbnail } } } // Single request; exact fields,// GET /user/1 -> 50 fields; GET /user/1/posts -> 20 posts with all fields; GET /post/1/comments -> N+1 problem,Zero overfetching,https://graphql.org/learn/best-practices/
Network,HTTP/2 and Connection Multiplexing,All,Medium,http2 multiplexing connection pool keep alive latency parallel requests,HTTP/1.1 limiting parallel requests to 6 per host; slow cascading loads,Use HTTP/2 for multiplexed streams; single connection handles many requests,HTTP/1.1 with head-of-line blocking; open multiple connections; slow on high latency,// OkHttp uses HTTP/2 by default for HTTPS; Protocol.HTTP_2; single connection multiplexes 100+ requests,// HTTP/1.1: max 6 parallel requests per domain; queue rest; head-of-line blocking,Multiplexed requests,https://square.github.io/okhttp/features/connections/
Network,API Response Compression,All,Medium,api response compression gzip brotli accept-encoding content-encoding bandwidth,Uncompressed API responses wasting bandwidth; slow on mobile networks,Request compressed responses with Accept-Encoding; enable gzip/brotli on server,Plain JSON responses without compression; 5x larger payloads over network,// OkHttp auto-adds Accept-Encoding: gzip; transparent decompression; 70-80% size reduction,// No compression; 100KB JSON response instead of 20KB; 5x slower on 3G,70%+ compression ratio,https://developer.android.com/training/efficient-downloads/regular-updates
Battery,Doze Mode and App Standby,Android,High,doze mode app standby battery restrictions idle maintenance window,App not respecting Doze mode; triggering wakelocks in background,Schedule work with WorkManager respecting Doze; use FCM for high-priority messages,AlarmManager.setExact with wakelocks; preventing device sleep,WorkManager.enqueue(request) // Respects Doze; batches work; uses maintenance windows,alarmManager.setExactAndAllowWhileIdle(type triggerAt pendingIntent) // Wakes device constantly,Doze-compatible,https://developer.android.com/training/monitoring-device-state/doze-standby
Battery,Efficient Network Polling vs Push,All,High,polling push notification fcm websocket sse battery network efficiency,Polling server every 30s for updates; constant network usage draining battery,Use push notifications (FCM/APNs) or WebSocket for real-time; eliminate polling,Poll every 30s even when no new data; wake radio 2880 times/day,// FCM push: server sends notification only when data changes; zero battery when idle,// setInterval(fetchData 30000) // Polls every 30s; 2880 wakeups/day; kills battery,Zero idle network usage,https://developer.android.com/develop/connectivity/network-ops/efficient-network-access
Accessibility,Touch Target Size,All,High,touch target size 48dp accessibility tap button clickable minimum,Touch targets too small for users with motor impairments,Ensure minimum 48dp touch targets; add padding to small icons,Tiny 24dp buttons with no padding; impossible to tap for many users,Modifier.size(24.dp).clickable { }.padding(12.dp) // Visual 24dp but 48dp touch; // Or: minimumInteractiveComponentSize(),Icon(modifier = Modifier.size(16.dp).clickable { }) // 16dp touch target; impossible for accessibility users,≥ 48dp touch targets,https://developer.android.com/develop/ui/compose/accessibility#touch-target-size
Accessibility,Color Contrast Ratio,All,High,color contrast ratio wcag accessibility text background readability,Insufficient text-to-background contrast ratio; unreadable for low vision users,Maintain WCAG AA contrast: 4.5:1 for text 3:1 for large text; test with Accessibility Scanner,Light gray text on white background; decorative fonts with low contrast,Text(color = Color(0xFF1A1A1A)) on Surface // 15:1 contrast ratio,Text(color = Color(0xFFBBBBBB)) on Color.White // 1.6:1 ratio; fails WCAG AA; unreadable in sunlight,≥ 4.5:1 contrast,https://developer.android.com/develop/ui/compose/accessibility#color-contrast
Accessibility,Screen Reader Navigation Order,All,High,screen reader talkback voiceover navigation order focus traversal logical,Illogical screen reader navigation order confusing blind users,Ensure logical reading order matches visual layout; use traversalIndex in Compose,Random focus order; decorative images announced; interactive elements unlabeled,Modifier.semantics { traversalIndex = 1f }; // Control reading order; clearAndSetSemantics for groups,// No traversal control; screen reader jumps randomly between header price button back to title,Logical traversal order,https://developer.android.com/develop/ui/compose/accessibility#traversal-order
Accessibility,Dynamic Font Scaling,All,High,dynamic font size scaling sp accessibility large text responsive layout,Fixed text sizes ignoring user font preferences; text clipped at large sizes,Use sp units; test at 200% font scale; ensure layouts don't clip or overlap,Hardcoded dp for text; fixed-height containers that clip enlarged text,Text(style = MaterialTheme.typography.bodyLarge) // Uses sp; scales with user preference,Text(fontSize = 14.dp) // dp not sp; ignores accessibility font scaling; or fixed Box(height = 20.dp) { Text(...) } clipping,Readable at 200% scale,https://developer.android.com/develop/ui/compose/designsystems/material3#typography
Accessibility,Live Region Announcements,Android,Medium,live region accessibility announce polite assertive talkback dynamic content,Dynamic content changes not announced to screen reader users,Use liveRegion for dynamically updated content like errors counters timers,Update text without announcing; screen reader users miss important changes,Modifier.semantics { liveRegion = LiveRegionMode.Polite } // Announces changes to TalkBack,// Error text appears but TalkBack doesn't announce it; user doesn't know login failed,Dynamic updates announced,https://developer.android.com/develop/ui/compose/accessibility#live-region
Accessibility,Heading Hierarchy,All,Medium,heading hierarchy structure accessibility navigation talkback voiceover,No heading structure; screen reader users can't navigate between sections,Mark headings with semantics { heading() }; create navigable section structure,Flat content with no heading markers; screen reader must read everything linearly,"Text(""Settings"" Modifier.semantics { heading() } style = MaterialTheme.typography.headlineMedium)",// All text same level; no heading markers; TalkBack user must swipe through every item to find sections,Heading navigation works,https://developer.android.com/develop/ui/compose/accessibility
Accessibility,Custom Action Descriptions,Android,Medium,custom action accessibility long press swipe dismiss semantics action,Complex gestures (long press swipe to dismiss) inaccessible to screen reader users,Add custom accessibility actions for gestures; provide alternatives,Swipe-to-delete with no accessibility alternative; screen reader users can't delete,"Modifier.semantics { customActions = listOf(CustomAccessibilityAction(""Delete"") { deleteItem(id); true }) }",// SwipeToDismiss with no accessibility action; TalkBack users cannot swipe to delete items,All gestures have alternatives,https://developer.android.com/develop/ui/compose/accessibility#custom-actions
Accessibility,Accessibility Testing Automation,All,High,accessibility testing espresso robolectric scanner automated a11y compose,No automated accessibility testing; manual testing misses issues,Use Espresso accessibility checks and Accessibility Scanner; add to CI pipeline,Manual accessibility testing only; issues found after release,"// Compose test: composeTestRule.onNodeWithText(""Submit"").assertHasClickAction().assert(hasContentDescription()); // Espresso: AccessibilityChecks.enable()",// No accessibility tests in CI; discover issues from user complaints post-launch,Zero a11y violations in CI,https://developer.android.com/develop/ui/compose/testing#accessibility-checks
Network,Adaptive Network Quality,All,High,network quality adaptive bandwidth 2g 3g 4g 5g wifi degrade graceful,Same behavior on 2G as on 5G; timeouts and failures on slow networks,Detect network quality; adapt content and timeout; show low-quality images on slow connections,Same image quality and timeouts regardless of connection speed,val quality = if (connectivityManager.isActiveNetworkMetered) ImageQuality.LOW else ImageQuality.HIGH; // Adapt content to network,// Always load 4K images; 30s timeout on 2G; app appears frozen; user gives up,Adaptive to network speed,https://developer.android.com/training/basics/network-ops/managing
Network,Exponential Backoff Retry,All,High,retry exponential backoff jitter network failure resilience robust api,Fixed retry interval hammering server during outage; making problem worse,Implement exponential backoff with jitter for retries; max retry limit,Retry immediately in tight loop; 1000 retries/sec during server outage,delay(minOf(baseDelay * 2.0.pow(attempt) maxDelay) + Random.nextLong(0 jitter)); // Exponential + jitter,while(true) { try { api.call(); break } catch(e: Exception) { /* retry immediately */ } } // Hammers server,Exponential backoff,https://developer.android.com/training/efficient-downloads
Network,ETag and Conditional Requests,All,Medium,etag conditional request 304 not modified cache validation bandwidth,Re-downloading unchanged data every time; wasting bandwidth,Use ETag/If-None-Match for conditional requests; server returns 304 when unchanged,Full response every request even when data hasn't changed; wastes bandwidth,// OkHttp cache: Cache(cacheDir 50L * 1024 * 1024); // Automatic ETag/304 handling,// No cache headers; 100KB response re-downloaded every 30s even when unchanged,304 for unchanged data,https://developer.android.com/training/efficient-downloads/regular-updates
